date_trunc,mints
2021-05-01T00:00:00+00:00,93013
2021-04-01T00:00:00+00:00,76497
2021-12-01T00:00:00+00:00,519980
2022-04-01T00:00:00+00:00,274953
2020-09-01T00:00:00+00:00,4
2022-07-01T00:00:00+00:00,22559
2021-07-01T00:00:00+00:00,213494
2021-02-01T00:00:00+00:00,23838
2021-08-01T00:00:00+00:00,325141
2020-10-01T00:00:00+00:00,11880
2022-06-01T00:00:00+00:00,196839
2020-12-01T00:00:00+00:00,11585
2021-06-01T00:00:00+00:00,149700
2021-09-01T00:00:00+00:00,744003
2022-05-01T00:00:00+00:00,210961
2021-10-01T00:00:00+00:00,675742
2022-02-01T00:00:00+00:00,431439
2020-11-01T00:00:00+00:00,6326
2022-03-01T00:00:00+00:00,356255
2022-01-01T00:00:00+00:00,417898
2021-01-01T00:00:00+00:00,7507
2021-11-01T00:00:00+00:00,479921
2021-03-01T00:00:00+00:00,34699
