mindate,walletcount
2019-05-27,110
2019-05-28,426
2019-05-31,433
2019-06-19,434
2019-06-21,435
2019-06-22,449
2019-06-23,455
2019-06-24,457
2019-06-25,458
2019-06-27,460
2019-06-28,464
2019-06-29,465
2019-07-23,466
2019-07-25,471
2019-07-26,473
2019-07-28,474
2019-08-02,634
2019-08-03,639
2019-08-04,642
2019-08-07,679
2019-08-12,1679
2019-08-18,1683
2019-08-19,1697
2019-08-20,1705
2019-08-21,1716
2019-08-22,1732
2019-08-23,2450
2019-08-24,2455
2019-08-25,2460
2019-08-26,2462
2019-08-27,2464
2019-08-28,2466
2019-08-29,2491
2019-08-30,2568
2019-09-01,2569
2019-09-02,2570
2019-09-05,2571
2019-09-07,2795
2019-09-08,2797
2019-09-10,2798
2019-09-11,2799
2019-09-12,2807
2019-09-13,2809
2019-09-16,2810
2019-09-17,2811
2019-09-22,2812
2019-09-24,2814
2019-09-28,2815
2019-09-29,2827
2019-10-02,2828
2019-10-05,3052
2019-10-06,3054
2019-10-07,3106
2019-10-08,3247
2019-10-09,3282
2019-10-10,3303
2019-10-11,3457
2019-10-12,3473
2019-10-13,3487
2019-10-14,3503
2019-10-15,3512
2019-10-16,3523
2019-10-17,3531
2019-10-18,3540
2019-10-19,3548
2019-10-20,3552
2019-10-21,3555
2019-10-22,3557
2019-10-23,3564
2019-10-24,3582
2019-10-25,3587
2019-10-26,3590
2019-10-27,3596
2019-10-28,3600
2019-10-29,3601
2019-10-30,3604
2019-11-02,3605
2019-11-03,3608
2019-11-04,3612
2019-11-05,3613
2019-11-06,3617
2019-11-07,3622
2019-11-08,3759
2019-11-09,3799
2019-11-10,3814
2019-11-11,3816
2019-11-12,3820
2019-11-13,3822
2019-11-14,3828
2019-11-15,3829
2019-11-17,3830
2019-11-24,3832
2019-11-25,3839
2019-11-26,3842
2019-11-27,3844
2019-12-01,3846
2019-12-02,3865
2019-12-03,3871
2019-12-04,3874
2019-12-05,3886
2019-12-06,3891
2019-12-07,3915
2019-12-08,3918
2019-12-11,3919
2019-12-12,3922
2019-12-13,3926
2019-12-15,3928
2019-12-19,3930
2019-12-20,3935
2019-12-21,3936
2019-12-23,3937
2019-12-25,3938
2019-12-26,3939
2019-12-27,3944
2019-12-29,3945
2019-12-31,3946
2020-01-01,3947
2020-01-02,3948
2020-01-04,3949
2020-01-06,3952
2020-01-08,3955
2020-01-09,3957
2020-01-10,3958
2020-01-12,3959
2020-01-13,3960
2020-01-14,3968
2020-01-15,3975
2020-01-16,3992
2020-01-17,4013
2020-01-18,4017
2020-01-19,4019
2020-01-20,4020
2020-01-21,4023
2020-01-22,4027
2020-01-23,4030
2020-01-25,4032
2020-01-26,4033
2020-01-28,4034
2020-01-30,4053
2020-01-31,4058
2020-02-01,4064
2020-02-02,4067
2020-02-03,4127
2020-02-05,4155
2020-02-06,4157
2020-02-07,4165
2020-02-09,4181
2020-02-10,4197
2020-02-11,4204
2020-02-12,4233
2020-02-13,4254
2020-02-14,4294
2020-02-15,4330
2020-02-16,4337
2020-02-17,4351
2020-02-18,4359
2020-02-19,4364
2020-02-20,4368
2020-02-21,4370
2020-02-22,4373
2020-02-23,4376
2020-02-24,4379
2020-02-25,4380
2020-02-26,4382
2020-02-27,4393
2020-02-28,4413
2020-02-29,4540
2020-03-01,4545
2020-03-02,4553
2020-03-03,4592
2020-03-04,4618
2020-03-05,4637
2020-03-06,4666
2020-03-07,4706
2020-03-08,4709
2020-03-09,4712
2020-03-11,4714
2020-03-14,4717
2020-03-15,4718
2020-03-16,4722
2020-03-17,4795
2020-03-18,4798
2020-03-19,4821
2020-03-20,4824
2020-03-21,4827
2020-03-22,4829
2020-03-23,4831
2020-03-24,4849
2020-03-25,5001
2020-03-26,5007
2020-03-27,5012
2020-03-28,5014
2020-03-29,5016
2020-03-30,5018
2020-03-31,5019
2020-04-01,5030
2020-04-02,5034
2020-04-03,5043
2020-04-04,5049
2020-04-05,5059
2020-04-06,5066
2020-04-08,5074
2020-04-09,5077
2020-04-10,5079
2020-04-11,5090
2020-04-12,5091
2020-04-13,5093
2020-04-14,5094
2020-04-16,5104
2020-04-17,5150
2020-04-18,5181
2020-04-19,5186
2020-04-20,5188
2020-04-24,5204
2020-04-25,5210
2020-04-26,5216
2020-04-27,5219
2020-04-29,5224
2020-04-30,5227
2020-05-01,5296
2020-05-02,5309
2020-05-03,6278
2020-05-04,6353
2020-05-05,6367
2020-05-09,6368
2020-05-10,6369
2020-05-15,6370
2020-05-16,6371
2020-05-20,6372
2020-05-22,6446
2020-05-24,6450
2020-05-26,6516
2020-05-27,6518
2020-05-28,6525
2020-06-01,6528
2020-06-02,6536
2020-06-03,6539
2020-06-04,6544
2020-06-05,6577
2020-06-06,6607
2020-06-07,6623
2020-06-08,6630
2020-06-09,6639
2020-06-10,6644
2020-06-11,6646
2020-06-12,6649
2020-06-13,6658
2020-06-14,6663
2020-06-16,6664
2020-06-17,6665
2020-06-18,6667
2020-06-19,6795
2020-06-20,6886
2020-06-21,6965
2020-06-22,6999
2020-06-23,7030
2020-06-24,7055
2020-06-25,7078
2020-06-26,7109
2020-06-27,7154
2020-06-28,7191
2020-06-29,7204
2020-06-30,7209
2020-07-01,7212
2020-07-02,7216
2020-07-03,7221
2020-07-04,7254
2020-07-05,7262
2020-07-06,7401
2020-07-07,7410
2020-07-08,7414
2020-07-09,7421
2020-07-10,7426
2020-07-11,7446
2020-07-12,7476
2020-07-13,7505
2020-07-14,7515
2020-07-15,7517
2020-07-16,7545
2020-07-17,7567
2020-07-18,7626
2020-07-19,7630
2020-07-20,7646
2020-07-21,7653
2020-07-22,7655
2020-07-23,7658
2020-07-24,7674
2020-07-25,7681
2020-07-26,7700
2020-07-27,7704
2020-07-28,7777
2020-07-29,7798
2020-07-30,7803
2020-07-31,7809
2020-08-01,7852
2020-08-02,7947
2020-08-03,7962
2020-08-04,7969
2020-08-05,8157
2020-08-06,8168
2020-08-07,8180
2020-08-08,8188
2020-08-09,8193
2020-08-10,8195
2020-08-11,8197
2020-08-12,8198
2020-08-13,8199
2020-08-14,8200
2020-08-16,8203
2020-08-17,8206
2020-08-18,8207
2020-08-19,8210
2020-08-20,8216
2020-08-21,8343
2020-08-22,8520
2020-08-23,8609
2020-08-24,8650
2020-08-25,8666
2020-08-26,8672
2020-08-27,8687
2020-08-28,8690
2020-08-29,8697
2020-08-30,8699
2020-08-31,8700
2020-09-01,8704
2020-09-02,8712
2020-09-03,8716
2020-09-04,8730
2020-09-05,8738
2020-09-06,8751
2020-09-07,8766
2020-09-08,8782
2020-09-09,8785
2020-09-10,8791
2020-09-11,8796
2020-09-12,8806
2020-09-13,8808
2020-09-14,8818
2020-09-15,8823
2020-09-16,8830
2020-09-18,8832
2020-09-19,8842
2020-09-20,8851
2020-09-21,8863
2020-09-22,8871
2020-09-23,8880
2020-09-24,8946
2020-09-25,8959
2020-09-26,8967
2020-09-27,8974
2020-09-28,8980
2020-09-29,8998
2020-09-30,9004
2020-10-03,9007
2020-10-04,9008
2020-10-05,9009
2020-10-06,9013
2020-10-08,9014
2020-10-09,9015
2020-10-10,9016
2020-10-11,9017
2020-10-14,9028
2020-10-15,9041
2020-10-16,9088
2020-10-17,9115
2020-10-18,9135
2020-10-19,9146
2020-10-20,9164
2020-10-21,9174
2020-10-22,9184
2020-10-23,9195
2020-10-24,9209
2020-10-25,9222
2020-10-26,9232
2020-10-27,9233
2020-10-28,9240
2020-10-29,9247
2020-10-30,9252
2020-10-31,9267
2020-11-01,9277
2020-11-02,9292
2020-11-03,9296
2020-11-04,9380
2020-11-05,9418
2020-11-06,9435
2020-11-07,9452
2020-11-08,9467
2020-11-09,9492
2020-11-10,9529
2020-11-11,9542
2020-11-12,9558
2020-11-13,9567
2020-11-14,9583
2020-11-15,9585
2020-11-16,9591
2020-11-17,9600
2020-11-18,9605
2020-11-19,9615
2020-11-20,9621
2020-11-21,9630
2020-11-22,9632
2020-11-23,9638
2020-11-24,9639
2020-11-25,9641
2020-11-26,9642
2020-11-27,9650
2020-11-28,9655
2020-11-29,9663
2020-11-30,9666
2020-12-01,9734
2020-12-02,9758
2020-12-03,9801
2020-12-04,9832
2020-12-05,9857
2020-12-06,9871
2020-12-07,9878
2020-12-08,9880
2020-12-09,9883
2020-12-10,9889
2020-12-11,9896
2020-12-12,9900
2020-12-13,9908
2020-12-14,9915
2020-12-15,9918
2020-12-16,9923
2020-12-17,9926
2020-12-18,9929
2020-12-19,9933
2020-12-20,9940
2020-12-21,9945
2020-12-22,9969
2020-12-23,9977
2020-12-24,9990
2020-12-25,9992
2020-12-26,9998
2020-12-27,10004
2020-12-28,10007
2020-12-29,10018
2020-12-30,10023
2020-12-31,10031
2021-01-01,10034
2021-01-02,10037
2021-01-03,10041
2021-01-05,10048
2021-01-06,10049
2021-01-08,10052
2021-01-09,10055
2021-01-10,10057
2021-01-11,10058
2021-01-12,10060
2021-01-13,10064
2021-01-14,10065
2021-01-15,10069
2021-01-16,10070
2021-01-17,10073
2021-01-18,10074
2021-01-20,10075
2021-01-21,10077
2021-01-22,10079
2021-01-23,10081
2021-01-24,10084
2021-01-25,10086
2021-01-26,10088
2021-01-27,10089
2021-01-28,10091
2021-02-01,10092
2021-02-02,10095
2021-02-03,10104
2021-02-04,10106
2021-02-05,10107
2021-02-06,10110
2021-02-07,10112
2021-02-08,10119
2021-02-09,10124
2021-02-10,10127
2021-02-11,10129
2021-02-12,10131
2021-02-13,10134
2021-02-14,10138
2021-02-15,10142
2021-02-16,10143
2021-02-17,10153
2021-02-18,10157
2021-02-19,10184
2021-02-20,10194
2021-02-21,10200
2021-02-22,10204
2021-02-23,10224
2021-02-24,10239
2021-02-25,10245
2021-02-26,10256
2021-02-27,10267
2021-02-28,10274
2021-03-01,10284
2021-03-02,10317
2021-03-03,10353
2021-03-04,10377
2021-03-05,10384
2021-03-06,10505
2021-03-07,10534
2021-03-08,10551
2021-03-09,10569
2021-03-10,10579
2021-03-11,10589
2021-03-12,10597
2021-03-13,10600
2021-03-14,10609
2021-03-15,10615
2021-03-16,10620
2021-03-17,10629
2021-03-18,10636
2021-03-19,10642
2021-03-20,10651
2021-03-21,10664
2021-03-22,10668
2021-03-23,10680
2021-03-24,10685
2021-03-25,10692
2021-03-26,10699
2021-03-27,10704
2021-03-28,10711
2021-03-29,10713
2021-03-30,10719
2021-03-31,10725
2021-04-01,10741
2021-04-02,10759
2021-04-03,10780
2021-04-04,10805
2021-04-05,10817
2021-04-06,10837
2021-04-07,10856
2021-04-08,10931
2021-04-09,10982
2021-04-10,11006
2021-04-11,11035
2021-04-12,11056
2021-04-13,11064
2021-04-14,11070
2021-04-15,11092
2021-04-16,11098
2021-04-17,11104
2021-04-18,11112
2021-04-19,11116
2021-04-20,11129
2021-04-21,11141
2021-04-22,11156
2021-04-23,11166
2021-04-24,11197
2021-04-25,11237
2021-04-26,11253
2021-04-27,11263
2021-04-28,11278
2021-04-29,11292
2021-04-30,11306
2021-05-01,11365
2021-05-02,11438
2021-05-03,11468
2021-05-04,11533
2021-05-05,11588
2021-05-06,11614
2021-05-07,11649
2021-05-08,11667
2021-05-09,11669
2021-05-10,11674
2021-05-11,11676
2021-05-12,11677
2021-05-13,11681
2021-05-14,11686
2021-05-15,11696
2021-05-16,11704
2021-05-17,11711
2021-05-18,11727
2021-05-20,11739
2021-05-21,11744
2021-05-22,11804
2021-05-23,11822
2021-05-24,11839
2021-05-25,11856
2021-05-26,11872
2021-05-27,11929
2021-05-28,12048
2021-05-29,12121
2021-05-30,12155
2021-05-31,12188
2021-06-01,12253
2021-06-02,12591
2021-06-03,12834
2021-06-04,12894
2021-06-05,12944
2021-06-06,13021
2021-06-07,13064
2021-06-08,13193
2021-06-09,13246
2021-06-10,13335
2021-06-11,13384
2021-06-12,13425
2021-06-13,13490
2021-06-14,13515
2021-06-15,13560
2021-06-16,13637
2021-06-17,13707
2021-06-18,13765
2021-06-19,13815
2021-06-20,13851
2021-06-21,13870
2021-06-22,13882
2021-06-23,13917
2021-06-24,13977
2021-06-25,14032
2021-06-26,14107
2021-06-27,14177
2021-06-28,14209
2021-06-29,14240
2021-06-30,14263
2021-07-01,14342
2021-07-02,14481
2021-07-03,14533
2021-07-04,14559
2021-07-05,14577
2021-07-06,14598
2021-07-07,14623
2021-07-08,14724
2021-07-09,14827
2021-07-10,14889
2021-07-11,14939
2021-07-12,14985
2021-07-13,15016
2021-07-14,15046
2021-07-15,15074
2021-07-16,15119
2021-07-17,15147
2021-07-18,15186
2021-07-19,15218
2021-07-20,15257
2021-07-21,15292
2021-07-22,15356
2021-07-23,15472
2021-07-24,15519
2021-07-25,15551
2021-07-26,15576
2021-07-27,15599
2021-07-28,15651
2021-07-29,15716
2021-07-30,15817
2021-07-31,15848
2021-08-01,15884
2021-08-02,15941
2021-08-03,15977
2021-08-04,16012
