count,daily_change,day
4643,4.0,2022-06-25T00:00:00
2350,5.0,2021-12-23T00:00:00
1742,1.0,2021-10-27T00:00:00
2321,5.0,2021-12-19T00:00:00
4597,1.0,2022-06-09T00:00:00
1902,10.0,2021-11-03T00:00:00
2181,6.0,2021-11-27T00:00:00
1816,26.0,2021-10-30T00:00:00
2501,-15.0,2022-02-05T00:00:00
3930,36.0,2022-04-17T00:00:00
1958,-140.0,2022-01-07T00:00:00
1712,3.0,2021-10-17T00:00:00
2379,12.0,2021-12-26T00:00:00
4598,-4.0,2022-06-10T00:00:00
899,32.0,2021-08-02T00:00:00
3706,2.0,2022-04-02T00:00:00
4396,-12.0,2022-05-05T00:00:00
1370,30.0,2021-08-31T00:00:00
4352,62.0,2022-05-09T00:00:00
2306,3.0,2021-12-15T00:00:00
3952,-26.0,2022-04-14T00:00:00
2472,29.0,2022-02-04T00:00:00
3328,-41.0,2022-03-03T00:00:00
2326,10.0,2021-12-20T00:00:00
1704,-2.0,2021-10-12T00:00:00
2274,8.0,2021-12-10T00:00:00
1289,1.0,2021-08-17T00:00:00
3599,102.0,2022-03-28T00:00:00
1638,4.0,2021-09-26T00:00:00
2431,26.0,2022-01-30T00:00:00
3575,24.0,2022-03-27T00:00:00
2048,14.0,2021-11-15T00:00:00
3770,101.0,2022-04-04T00:00:00
1864,14.0,2021-11-01T00:00:00
2271,364.0,2022-01-11T00:00:00
4570,9.0,2022-06-03T00:00:00
3638,1.0,2022-03-22T00:00:00
1891,380.0,2022-01-10T00:00:00
3937,-34.0,2022-04-08T00:00:00
4561,-19.0,2022-05-25T00:00:00
4647,2.0,2022-06-26T00:00:00
796,28.0,2021-07-30T00:00:00
4594,7.0,2022-06-11T00:00:00
1255,10.0,2021-08-13T00:00:00
1728,0.0,2021-10-24T00:00:00
1912,18.0,2021-11-04T00:00:00
4621,-4.0,2022-06-18T00:00:00
2250,9.0,2021-12-07T00:00:00
39,573.0,2021-07-27T00:00:00
3452,94.0,2022-03-14T00:00:00
1778,113.0,2022-01-09T00:00:00
1362,8.0,2021-08-30T00:00:00
2336,7.0,2021-12-21T00:00:00
4479,13.0,2022-05-11T00:00:00
2213,10.0,2021-12-01T00:00:00
1720,6.0,2021-10-22T00:00:00
1715,3.0,2021-10-18T00:00:00
1718,3.0,2021-10-19T00:00:00
4748,,2022-07-06T00:00:00
2510,-38.0,2022-02-03T00:00:00
3555,-75.0,2022-03-16T00:00:00
4033,-81.0,2022-04-13T00:00:00
4094,60.0,2022-04-24T00:00:00
1613,4.0,2021-09-22T00:00:00
3969,-32.0,2022-04-07T00:00:00
4592,17.0,2022-05-31T00:00:00
3721,-17.0,2022-03-31T00:00:00
2301,5.0,2021-12-14T00:00:00
3970,-1.0,2022-04-06T00:00:00
1685,6.0,2021-10-09T00:00:00
2365,14.0,2021-12-25T00:00:00
1428,31.0,2021-09-03T00:00:00
2486,62.0,2022-02-06T00:00:00
4704,15.0,2022-07-01T00:00:00
1704,5.0,2021-10-15T00:00:00
4342,34.0,2022-05-03T00:00:00
2089,13.0,2021-11-18T00:00:00
2548,-38.0,2022-01-27T00:00:00
3735,-14.0,2022-03-30T00:00:00
2646,-8.0,2022-01-23T00:00:00
3237,122.0,2022-02-28T00:00:00
1721,0.0,2021-10-20T00:00:00
3418,197.0,2022-03-08T00:00:00
2676,-30.0,2022-01-22T00:00:00
3051,121.0,2022-02-22T00:00:00
4638,5.0,2022-06-24T00:00:00
2546,-36.0,2022-02-02T00:00:00
2635,376.0,2022-01-12T00:00:00
3359,-4.0,2022-03-01T00:00:00
2477,61.0,2022-01-01T00:00:00
4673,10.0,2022-06-29T00:00:00
1678,3.0,2021-10-07T00:00:00
2941,-13.0,2022-02-16T00:00:00
4496,-3.0,2022-05-21T00:00:00
4259,-11.0,2022-04-30T00:00:00
1342,4.0,2021-08-27T00:00:00
2249,1.0,2021-12-06T00:00:00
